#    2*theta     Intensity  
   5.0000000       0.0997036   
   5.0045000       0.1296134   
   5.0090000       0.1671365   
   5.0135000       0.2137840   
   5.0180000       0.2712445   
   5.0225000       0.3413729   
   5.0270000       0.4261666   
   5.0315000       0.5277302   
   5.0360000       0.6482264   
   5.0405000       0.7898119   
   5.0450000       0.9545591   
   5.0495000       1.1443641   
   5.0540000       1.3608424   
   5.0585000       1.6052166   
   5.0630000       1.8781993   
   5.0675000       2.1798766   
   5.0720000       2.5095993   
   5.0765000       2.8658870   
   5.0810000       3.2463546   
   5.0855000       3.6476660   
   5.0900000       4.0655226   
   5.0945000       4.4946918   
   5.0990000       4.9290778   
   5.1035000       5.3618374   
   5.1080000       5.7855389   
   5.1125000       6.1923602   
   5.1170000       6.5743197   
   5.1215000       6.9235311   
   5.1260000       7.2324708   
   5.1305000       7.4942459   
   5.1350000       7.7028495   
   5.1395000       7.8533887   
   5.1440000       7.9422763   
   5.1485000       7.9673722   
   5.1530000       7.9280692   
   5.1575000       7.8253177   
   5.1620000       7.6615869   
   5.1665000       7.4407670   
   5.1710000       7.1680148   
   5.1755000       6.8495540   
   5.1800000       6.4924395   
   5.1845000       6.1042982   
   5.1890000       5.6930603   
   5.1935000       5.2666935   
   5.1980000       4.8329524   
   5.2025000       4.3991544   
   5.2070000       3.9719897   
   5.2115000       3.5573716   
   5.2160000       3.1603310   
   5.2205000       2.7849546   
   5.2250000       2.4343660   
   5.2295000       2.1107454   
   5.2340000       1.8153821   
   5.2385000       1.5487540   
   5.2430000       1.3106269   
   5.2475000       1.1001652   
   5.2520000       0.9160495   
   5.2565000       0.7565928   
   5.2610000       0.6198516   
   5.2655000       0.5037272   
   5.2700000       0.4060554   
   5.2745000       0.3246814   
   5.2790000       0.2575205   
   5.2835000       0.2026041   
   5.2880000       0.1581128   
   5.2925000       0.1223962   
   5.2970000       0.0939834   
   5.3015000       0.0715841   
   5.3060000       0.0540834   
   5.3105000       0.0405316   
   5.3150000       0.0301305   
   5.3195000       0.0222178   
   5.3240000       0.0162509   
   5.3285000       0.0117906   
   5.3330000       0.0084855   
   5.3375000       0.0060576   
   5.3420000       0.0042895   
   5.3465000       0.0030130   
   5.3510000       0.0020992   
   5.3555000       0.0014508   
   5.3600000       0.0009946   
   5.3645000       0.0006763   
   5.3690000       0.0004562   
   5.3735000       0.0003052   
   5.3780000       0.0002026   
   5.3825000       0.0001334   
   5.3870000       0.0000871   
   5.3915000       0.0000564   
   5.3960000       0.0000362   
   5.4005000       0.0000231   
   5.4050000       0.0000146   
   5.4095000       0.0000092   
   5.4140000       0.0000057   
   5.4185000       0.0000035   
   5.4230000       0.0000022   
   5.4275000       0.0000013   
   5.4320000       0.0000008   
   5.4365000       0.0000005   
   5.4410000       0.0000003   
   5.4455000       0.0000002   
   5.4500000       0.0000001   
   5.4545000       0.0000001   
   5.4590000       0.0000000   
   5.4635000       0.0000000   
   5.4680000       0.0000000   
   5.4725000       0.0000000   
   5.4770000       0.0000000   
   5.4815000       0.0000000   
   5.4860000       0.0000000   
   5.4905000       0.0000000   
   5.4950000       0.0000000   
   5.4995000       0.0000000   
   5.5040000       0.0000000   
   5.5085000       0.0000000   
   5.5130000       0.0000000   
   5.5175000       0.0000000   
   5.5220000       0.0000000   
   5.5265000       0.0000000   
   5.5310000       0.0000000   
   5.5355000       0.0000000   
   5.5400000       0.0000000   
   5.5445000       0.0000000   
   5.5490000       0.0000000   
   5.5535000       0.0000000   
   5.5580000       0.0000000   
   5.5625000       0.0000000   
   5.5670000       0.0000000   
   5.5715000       0.0000000   
   5.5760000       0.0000000   
   5.5805000       0.0000000   
   5.5850000       0.0000000   
   5.5895000       0.0000000   
   5.5940000       0.0000000   
   5.5985000       0.0000000   
   5.6030000       0.0000000   
   5.6075000       0.0000000   
   5.6120000       0.0000000   
   5.6165000       0.0000000   
   5.6210000       0.0000000   
   5.6255000       0.0000000   
   5.6300000       0.0000000   
   5.6345000       0.0000000   
   5.6390000       0.0000000   
   5.6435000       0.0000000   
   5.6480000       0.0000000   
   5.6525000       0.0000000   
   5.6570000       0.0000000   
   5.6615000       0.0000000   
   5.6660000       0.0000000   
   5.6705000       0.0000000   
   5.6750000       0.0000000   
   5.6795000       0.0000000   
   5.6840000       0.0000000   
   5.6885000       0.0000000   
   5.6930000       0.0000000   
   5.6975000       0.0000000   
   5.7020000       0.0000000   
   5.7065000       0.0000000   
   5.7110000       0.0000000   
   5.7155000       0.0000000   
   5.7200000       0.0000000   
   5.7245000       0.0000000   
   5.7290000       0.0000000   
   5.7335000       0.0000000   
   5.7380000       0.0000000   
   5.7425000       0.0000000   
   5.7470000       0.0000000   
   5.7515000       0.0000000   
   5.7560000       0.0000000   
   5.7605000       0.0000000   
   5.7650000       0.0000000   
   5.7695000       0.0000000   
   5.7740000       0.0000000   
   5.7785000       0.0000000   
   5.7830000       0.0000000   
   5.7875000       0.0000000   
   5.7920000       0.0000000   
   5.7965000       0.0000000   
   5.8010000       0.0000000   
   5.8055000       0.0000000   
   5.8100000       0.0000000   
   5.8145000       0.0000000   
   5.8190000       0.0000000   
   5.8235000       0.0000000   
   5.8280000       0.0000000   
   5.8325000       0.0000000   
   5.8370000       0.0000000   
   5.8415000       0.0000000   
   5.8460000       0.0000000   
   5.8505000       0.0000000   
   5.8550000       0.0000000   
   5.8595000       0.0000000   
   5.8640000       0.0000000   
   5.8685000       0.0000000   
   5.8730000       0.0000000   
   5.8775000       0.0000000   
   5.8820000       0.0000000   
   5.8865000       0.0000000   
   5.8910000       0.0000000   
   5.8955000       0.0000000   
   5.9000000       0.0000000   
   5.9045000       0.0000000   
   5.9090000       0.0000000   
   5.9135000       0.0000000   
   5.9180000       0.0000000   
   5.9225000       0.0000000   
   5.9270000       0.0000000   
   5.9315000       0.0000000   
   5.9360000       0.0000000   
   5.9405000       0.0000000   
   5.9450000       0.0000000   
   5.9495000       0.0000000   
   5.9540000       0.0000000   
   5.9585000       0.0000000   
   5.9630000       0.0000000   
   5.9675000       0.0000000   
   5.9720000       0.0000000   
   5.9765000       0.0000000   
   5.9810000       0.0000000   
   5.9855000       0.0000000   
   5.9900000       0.0000000   
   5.9945000       0.0000000   
   5.9990000       0.0000000   
   6.0035000       0.0000000   
   6.0080000       0.0000000   
   6.0125000       0.0000000   
   6.0170000       0.0000000   
   6.0215000       0.0000000   
   6.0260000       0.0000000   
   6.0305000       0.0000000   
   6.0350000       0.0000000   
   6.0395000       0.0000000   
   6.0440000       0.0000000   
   6.0485000       0.0000000   
   6.0530000       0.0000000   
   6.0575000       0.0000000   
   6.0620000       0.0000000   
   6.0665000       0.0000000   
   6.0710000       0.0000000   
   6.0755000       0.0000000   
   6.0800000       0.0000000   
   6.0845000       0.0000000   
   6.0890000       0.0000000   
   6.0935000       0.0000000   
   6.0980000       0.0000000   
   6.1025000       0.0000000   
   6.1070000       0.0000000   
   6.1115000       0.0000000   
   6.1160000       0.0000000   
   6.1205000       0.0000000   
